Number of frames: 3500																																										
Frequency: 100																																										
Units: deg/mm																																										
																																										
Frame	smart_thigh Rz	smart_thigh Ry	smart_thigh Rx	smart_thigh x	smart_thigh y	smart_thigh z	smart_shank Rz	smart_shank Ry	smart_shank Rx	smart_shank x	smart_shank y	smart_shank z	smart_foot Rz	smart_foot Ry	smart_foot Rx	smart_foot x	smart_foot y	smart_foot z	smart_up_arm Rz	smart_up_arm Ry	smart_up_arm Rx	smart_up_arm x	smart_up_arm y	smart_up_arm z	smart_low_arm Rz	smart_low_arm Ry	smart_low_arm Rx	smart_low_arm x	smart_low_arm y	smart_low_arm z	smart_low_back Rz	smart_low_back Ry	smart_low_back Rx	smart_low_back x	smart_low_back y	smart_low_back z	smart_up_back Rz	smart_up_back Ry	smart_up_back Rx	smart_up_back x	smart_up_back y	smart_up_back z
36	20.10045101	-65.14781962	-26.24506848	222.0413971	83.7233963	497.2714539	8.181707729	12.23624292	7.065068277	373.0622864	67.20663452	296.7003479	-12.80191406	33.16358053	16.14171435	418.467926	107.5022049	54.8030777	-6.688803827	-7.416808505	-5.921791086	260.6126709	52.24235916	1001.691895	6.522288084	-23.24584021	-22.42178813	498.3808594	38.73949814	1092.283447	-3.057967259	2.227729377	-1.978856494	-102.8217926	315.8934631	642.5703735	0.487669797	30.15762453	-0.336551248	-26.96927643	294.5140686	1015.655945
37	19.98193869	-65.17033193	-26.13821017	222.0353851	83.7322464	497.2715454	8.174561644	12.23564613	7.044594358	373.0531311	67.21770477	296.7040405	-12.82122471	33.1493191	16.1104133	418.4684143	107.5009155	54.80669403	-6.699606625	-7.420006741	-5.931559537	260.605896	52.24454117	1001.677063	6.499240892	-23.25508316	-22.39679818	498.3738709	38.74233246	1092.275391	-3.050667921	2.219372427	-1.975683444	-102.8257523	315.8948669	642.5687866	0.481165963	30.15524762	-0.338837627	-26.97802544	294.513916	1015.649353
38	20.0508092	-65.157136	-26.20252665	222.0272827	83.7292099	497.2724304	8.157442629	12.23274501	7.045285914	373.0482788	67.21883392	296.7088623	-12.81518341	33.1546364	16.10216072	418.4697876	107.5016785	54.80970383	-6.706812902	-7.423265595	-5.934478589	260.6005554	52.24311447	1001.662659	6.554199582	-23.24591193	-22.41611054	498.3675842	38.75532532	1092.266968	-3.032473578	2.224492081	-1.975296044	-102.8349915	315.8951111	642.5704956	0.518789046	30.14919949	-0.333590628	-26.9880085	294.5172729	1015.6521
39	20.09688736	-65.15137132	-26.24750344	222.0187531	83.72556305	497.2729187	8.158664379	12.22965776	7.069448989	373.0437012	67.22067261	296.7066956	-12.80943239	33.16183884	16.11695833	418.4716797	107.5023575	54.80672455	-6.697114887	-7.42223509	-5.911467255	260.5953979	52.24230194	1001.64563	6.539395574	-23.25061963	-22.4132965	498.3630371	38.75292587	1092.257813	-3.048942231	2.217605756	-1.980201401	-102.8343735	315.8966064	642.5699463	0.513557868	30.14870771	-0.336351732	-26.99140739	294.5217896	1015.653381
40	20.00364845	-65.17063246	-26.14436417	222.0109863	83.71812439	497.2738953	8.180682347	12.23693618	7.033826564	373.0390625	67.2169342	296.7028198	-12.78050654	33.18810091	16.17665418	418.4689636	107.4941406	54.8082428	-6.688735952	-7.416750448	-5.929302586	260.5877075	52.25387192	1001.634705	6.533750849	-23.25006468	-22.41192875	498.3594971	38.76003265	1092.244019	-3.053091571	2.249666664	-1.980091477	-102.8458939	315.8992615	642.5727539	0.503871273	30.15199987	-0.339829819	-26.99522972	294.5259705	1015.653625
41	20.03820237	-65.16339929	-26.19675685	222.0016327	83.71723175	497.2702942	8.180794192	12.23752102	7.024327479	373.0348511	67.20854187	296.697998	-12.81057303	33.15451346	16.16004316	418.4685059	107.4944153	54.80620575	-6.695595597	-7.413798099	-5.898323837	260.5801697	52.26123047	1001.627747	6.546057143	-23.24588973	-22.4045402	498.3522644	38.76771164	1092.232544	-3.046657746	2.239781886	-1.978105813	-102.8538437	315.8980713	642.5744019	0.498134821	30.15724204	-0.344952434	-27.00999832	294.5293579	1015.651794
42	20.01649603	-65.16410963	-26.15695221	221.9920197	83.71707153	497.2641296	8.19368532	12.22949896	7.077892384	373.0302124	67.21144867	296.6903076	-12.80479043	33.15190774	16.17648513	418.4683838	107.4968109	54.80507278	-6.710815819	-7.415066806	-5.903959596	260.5707397	52.25062943	1001.623596	6.537276081	-23.24765192	-22.4260809	498.3438416	38.77016449	1092.219482	-3.04406078	2.240036097	-1.97605142	-102.8612976	315.8950195	642.5703735	0.483650871	30.13944598	-0.350268723	-27.02404213	294.5339966	1015.647095
43	19.98813026	-65.17031827	-26.12480934	221.9808807	83.7220459	497.2571411	8.17478021	12.2193826	7.09167229	373.0239563	67.21829987	296.6845093	-12.78815977	33.16523686	16.16318163	418.4649048	107.4973373	54.8065033	-6.711379737	-7.413705891	-5.903376469	260.556366	52.25901032	1001.61792	6.539680307	-23.24494545	-22.42314051	498.3352661	38.76697922	1092.210693	-3.028977374	2.229852926	-1.979852634	-102.870369	315.8898926	642.5682373	0.495840358	30.14438762	-0.342832061	-27.03161812	294.540741	1015.644592
44	20.01887806	-65.16753838	-26.15629822	221.9713287	83.71350861	497.2567444	8.167066365	12.21649855	7.080665867	373.0170898	67.22046661	296.6856689	-12.79021053	33.16916763	16.17196184	418.4656067	107.4896317	54.80997467	-6.710622013	-7.414151561	-5.902014273	260.5451355	52.2539978	1001.608154	6.556254188	-23.24121446	-22.40337053	498.3232727	38.75402069	1092.203491	-3.029452926	2.249041915	-1.980711103	-102.8818283	315.8856201	642.5652466	0.481712111	30.14961271	-0.349518362	-27.04193687	294.5464783	1015.644653
45	19.95321433	-65.18338442	-26.10574628	221.9622803	83.7103653	497.2575684	8.185335414	12.21595128	7.105739492	373.0088501	67.2228241	296.6923218	-12.77898085	33.17527723	16.16744367	418.4660339	107.4934082	54.80813217	-6.700490708	-7.415866792	-5.911889873	260.5357971	52.24738312	1001.595947	6.546708572	-23.24762118	-22.38881198	498.3130188	38.76036453	1092.196045	-3.030438822	2.240955611	-1.978590757	-102.8949738	315.8840027	642.5586548	0.468695692	30.17093656	-0.354192479	-27.04872894	294.5495605	1015.640686
