Number of frames: 2000																																										
Frequency: 100																																										
Units: deg/mm																																										
																																										
Frame	smart_thigh Rz	smart_thigh Ry	smart_thigh Rx	smart_thigh x	smart_thigh y	smart_thigh z	smart_shank Rz	smart_shank Ry	smart_shank Rx	smart_shank x	smart_shank y	smart_shank z	smart_foot Rz	smart_foot Ry	smart_foot Rx	smart_foot x	smart_foot y	smart_foot z	smart_up_arm Rz	smart_up_arm Ry	smart_up_arm Rx	smart_up_arm x	smart_up_arm y	smart_up_arm z	smart_low_arm Rz	smart_low_arm Ry	smart_low_arm Rx	smart_low_arm x	smart_low_arm y	smart_low_arm z	smart_low_back Rz	smart_low_back Ry	smart_low_back Rx	smart_low_back x	smart_low_back y	smart_low_back z	smart_up_back Rz	smart_up_back Ry	smart_up_back Rx	smart_up_back x	smart_up_back y	smart_up_back z
31	-4.291904752	3.97423863	0.031507946	374.7718506	112.9085236	671.8148804	13.21370446	9.74278503	1.70692169	333.1132507	87.45265961	312.1836853	-10.1901351	31.15396813	13.0719251	417.743042	118.6450348	52.22177887	-3.979436831	3.815852946	-1.775290816	529.2514648	52.57343292	1324.272827	2.724102276	-4.029095721	-8.909570253	780.8071289	31.81555176	1342.554077	0.525205529	-3.861426103	-0.30143303	268.4133606	297.0896606	1017.887451	2.229771817	20.00295518	-0.579807822	234.4071198	296.5672913	1388.337402
32	-4.282086355	3.976399104	0.036733938	374.7748718	112.9296951	671.8146973	13.23290839	9.748968059	1.677754968	333.1102905	87.47086334	312.1856384	-10.19277497	31.14951826	13.07151956	417.7427979	118.6479874	52.2232933	-3.991480589	3.817866145	-1.75869954	529.2528076	52.57352829	1324.267212	2.698023973	-4.03259662	-8.909054574	780.8115845	31.82378006	1342.547974	0.528123834	-3.855823213	-0.29877051	268.4293213	297.1197205	1017.89093	2.224065834	20.02385215	-0.581846793	234.4183807	296.5852966	1388.333252
33	-4.282491897	3.98159389	0.039362093	374.7762756	112.9530563	671.8134155	13.22409915	9.746925832	1.671749097	333.1087952	87.48283386	312.1859436	-10.19377474	31.15254745	13.07549217	417.742157	118.6493912	52.22364044	-4.006325151	3.815348793	-1.772367389	529.2550659	52.57381821	1324.268555	2.712120203	-4.037771342	-8.875758256	780.8132935	31.82770538	1342.553101	0.507559895	-3.855191848	-0.3003791	268.4499207	297.1469116	1017.890686	2.222314104	20.01478336	-0.58092301	234.4216461	296.6011963	1388.324341
34	-4.288037157	3.983848706	0.030989976	374.7743225	112.9781265	671.81604	13.22190325	9.743566233	1.682873981	333.1034851	87.49378967	312.188446	-10.19542679	31.15571665	13.07236992	417.7415466	118.6521378	52.22248459	-3.992336497	3.812885656	-1.796817225	529.2578125	52.58296585	1324.279053	2.72328372	-4.034996578	-8.887246634	780.8139038	31.8350544	1342.570679	0.512975648	-3.876084116	-0.299769292	268.4717712	297.1723633	1017.892883	2.200258143	20.02461713	-0.583195542	234.4298859	296.6179199	1388.319824
35	-4.25328985	3.990413799	0.058910828	374.7722168	112.9836197	671.8218384	13.21044902	9.744046908	1.663872822	333.0930176	87.50969696	312.190033	-10.19976311	31.14880792	13.07451033	417.7423706	118.6519928	52.2237587	-3.983449994	3.807198243	-1.785931931	529.2602539	52.59795761	1324.300293	2.709617579	-4.036274677	-8.916794886	780.8112183	31.83506775	1342.605103	0.530752336	-3.880655647	-0.299494964	268.5015869	297.1931458	1017.89209	2.216082837	20.0284113	-0.581824008	234.4472656	296.6327209	1388.312622
36	-4.277547694	3.99248548	0.050314619	374.7740784	112.9971313	671.828125	13.19030935	9.744827257	1.655772431	333.0795898	87.51423645	312.1951904	-10.19724704	31.15220594	13.07661573	417.743927	118.6511917	52.22382355	-3.986439482	3.803557752	-1.774086035	529.2598267	52.61386108	1324.324829	2.689000013	-4.043606031	-8.910767244	780.8074341	31.83738327	1342.644775	0.538158876	-3.888130008	-0.295440713	268.5353394	297.2124329	1017.892212	2.186947171	19.99522341	-0.581803571	234.4629211	296.6485901	1388.309448
37	-4.254623018	3.996999382	0.029403377	374.7815857	113.0013733	671.8358765	13.20136743	9.74475554	1.680308818	333.0704956	87.51481628	312.2027283	-10.19401038	31.15793305	13.0757816	417.7445679	118.6507568	52.22603989	-3.978863522	3.804893054	-1.790207843	529.2575073	52.61927033	1324.348267	2.690072139	-4.05015789	-8.902613706	780.8039551	31.84415627	1342.68335	0.530708153	-3.898976349	-0.294959558	268.5617065	297.2276001	1017.89325	2.221491493	20.01685803	-0.581398829	234.4763947	296.6685486	1388.309814
38	-4.25479548	3.999604245	0.009940682	374.797699	112.9932327	671.8397827	13.23627055	9.7471222	1.702694977	333.0699768	87.51790619	312.2028503	-10.19501015	31.15769058	13.07367534	417.7419739	118.6493454	52.22699738	-3.997982502	3.801836118	-1.773610696	529.2595825	52.62140274	1324.366333	2.696253247	-4.055412867	-8.881667223	780.8042603	31.84313011	1342.726196	0.537036057	-3.922379992	-0.297455512	268.5942078	297.2419128	1017.889465	2.19109395	20.01370078	-0.585273947	234.4968109	296.6918945	1388.303467
39	-4.260178523	4.002454141	-0.00140865	374.8234558	112.9810181	671.8471069	13.23307317	9.747834248	1.68924452	333.0795593	87.51950836	312.2041016	-10.19838426	31.15864681	13.07337908	417.7453613	118.6486893	52.22508621	-4.004379828	3.794056959	-1.763012697	529.267334	52.64815521	1324.379883	2.690448653	-4.06453928	-8.863728585	780.8126221	31.84776115	1342.770996	0.508640719	-3.907667764	-0.296586104	268.6309509	297.2511292	1017.890442	2.199320699	20.02865548	-0.588956913	234.5224609	296.7195129	1388.300903
40	-4.252302461	4.001596099	0.02418042	374.8578491	112.9863205	671.8436279	13.22761158	9.751412413	1.673697622	333.0969849	87.50484467	312.208374	-10.19825278	31.15855801	13.07741913	417.7492676	118.6440735	52.22765732	-3.994343719	3.788720447	-1.748629813	529.2772217	52.66193008	1324.39502	2.686629083	-4.069976965	-8.902483078	780.822998	31.85513496	1342.82251	0.522053183	-3.917222772	-0.298824618	268.660675	297.2543335	1017.884155	2.195738905	20.02537186	-0.590704802	234.537323	296.7495728	1388.289917
41	-4.264234375	4.000806358	0.014304659	374.8960266	112.9764252	671.8417969	13.231089	9.751863205	1.695518049	333.1144714	87.5022583	312.2055969	-10.19546692	31.15775888	13.07697346	417.7509155	118.6423798	52.22864151	-4.031496959	3.780358588	-1.764956953	529.2890625	52.65672302	1324.418335	2.710034648	-4.076043026	-8.870966878	780.8386841	31.85897446	1342.882446	0.521661087	-3.918552098	-0.298127219	268.6845703	297.2548218	1017.877075	2.193602337	20.01815748	-0.595815811	234.5678253	296.7857666	1388.280396
42	-4.30415	3.99877395	0.021273114	374.9356079	112.9626083	671.8442993	13.23681953	9.758129904	1.676417531	333.1320801	87.49871826	312.2062988	-10.1936407	31.16269711	13.08083081	417.7518005	118.6419678	52.22512436	-4.006191109	3.777669201	-1.751425175	529.3048096	52.66160965	1324.455322	2.712114867	-4.075044965	-8.863752491	780.8601685	31.87086105	1342.94751	0.512101491	-3.937051238	-0.303256024	268.7225037	297.2540588	1017.871948	2.181080679	20.01250208	-0.602110204	234.5913696	296.8224182	1388.280273
43	-4.291991837	3.995708049	-0.012921353	374.9736633	112.9656982	671.8391724	13.24775039	9.761013098	1.697275648	333.1494141	87.49612427	312.2048645	-10.19300293	31.16281322	13.08230101	417.752533	118.6416855	52.22455978	-4.011280453	3.773095535	-1.769978103	529.3266602	52.67689133	1324.504028	2.669705796	-4.07871235	-8.919205943	780.8817749	31.87257385	1343.011719	0.4809276	-3.94128254	-0.301695752	268.7540894	297.2517395	1017.865417	2.176559948	20.02691719	-0.608183202	234.6197357	296.8551636	1388.272827
44	-4.283286761	3.995678594	-0.016904641	375.0055542	112.9629822	671.8405151	13.25244273	9.762315102	1.715819932	333.1636963	87.49793243	312.2047119	-10.19926962	31.16500913	13.07213684	417.7545776	118.6426163	52.22529221	-4.054875416	3.770608493	-1.816546866	529.3529663	52.687397	1324.558105	2.642930387	-4.080111685	-8.928529151	780.9037476	31.89010048	1343.074097	0.494156983	-3.927581608	-0.3061322	268.7822876	297.2483826	1017.861816	2.186781326	20.02561775	-0.615081693	234.6476593	296.8862915	1388.267456
45	-4.290949806	3.997857424	0.022268821	375.0327454	112.9729004	671.8397827	13.26711654	9.766054631	1.713490731	333.1778259	87.48726654	312.2114258	-10.20101303	31.17209886	13.06890616	417.7591858	118.6451035	52.22468567	-4.047069791	3.769494318	-1.803695225	529.3845825	52.71239471	1324.616089	2.652422215	-4.078075435	-8.965867234	780.9273071	31.90493393	1343.13269	0.470682049	-3.945633798	-0.311237393	268.8183289	297.2401733	1017.857971	2.192384429	20.04715504	-0.620208284	234.6743164	296.9163513	1388.260498
46	-4.299637807	4.000523759	-0.00046663	375.059845	112.9669342	671.8365479	13.26983154	9.765382711	1.729609977	333.1888123	87.48513031	312.2095642	-10.19801629	31.17121777	13.0778631	417.7606506	118.6451797	52.22463989	-4.048730381	3.764886075	-1.793791451	529.4150391	52.74130249	1324.658447	2.663978042	-4.083613864	-8.930159005	780.947937	31.91975594	1343.179199	0.483755832	-3.962530832	-0.312663782	268.8616028	297.2316284	1017.853271	2.188886305	20.03613283	-0.626420501	234.7033386	296.9481812	1388.251831
47	-4.290525054	4.005154201	-0.000922346	375.0857544	112.9549789	671.833374	13.23730191	9.764244631	1.7283735	333.1971741	87.49056244	312.2036133	-10.19537812	31.16994735	13.07469133	417.7616882	118.6439743	52.22101975	-4.054640629	3.762244072	-1.767165879	529.43927	52.76420212	1324.682129	2.651641653	-4.087219777	-8.914995131	780.9664917	31.93749619	1343.214966	0.466641779	-3.933891849	-0.311829965	268.901001	297.2219238	1017.851563	2.13861718	20.03891784	-0.638605185	234.7452087	296.9832459	1388.245728
